node_1,node_2
respiratory syncytial virus infection@Disease,NLRP3@Gene
fibrosis@Disease,AcvRIIB@Gene
fever@Disease,cGAS@Gene
acute respiratory syndrome@Disease,cGAS@Gene
fibrosis@Disease,Ang I@Gene
fever@Disease,SARI@Gene
fever rickettsioses@Disease,Atg5@Gene
pneumonia@Disease,a@Gene
fibrosis@Disease,RhoA@Gene
Ebola viruses@Disease,C1q@Gene
aureus pneumonia@Disease,CGRP@Gene
respiratory virus infection@Disease,CCR7@Gene
pneumoniae type 14@Disease,caveolin-1@Gene
Yellow fever@Disease,CD4@Gene
coronavirus infection of the central nervous system@Disease,CD4@Gene
respiratory infection@Disease,CD69@Gene
fibrosis@Disease,CDH1@Gene
respiratory infection@Disease,clock@Gene
dengue fever@Disease,CXCR3@Gene
neurovirulent coronavirus@Disease,CCR2@Gene
neurovirulent coronavirus@Disease,CCR5@Gene
fibrosis@Disease,Col8a1@Gene
fibrosis@Disease,COL1A1@Gene
viral hemorrhagic fever@Disease,CatB@Gene
viral hemorrhagic fever@Disease,CatL@Gene
respiratory infections@Disease,CTSL@Gene
pneumonia@Disease,mDPP4@Gene
fibrosis models@Disease,EGFR@Gene
respiratory viral infections@Disease,EGFR@Gene
respiratory infections@Disease,hot@Gene
acute respiratory infection@Disease,hot@Gene
lung fibrosis@Disease,CRP@Gene
lobar pneumonia@Disease,CRP@Gene
viral plus other pneumonia@Disease,CRP@Gene
viral plus others pneumonias@Disease,CRP@Gene
acute respiratory distress syndrome@Disease,CRP@Gene
respiratory distress@Disease,CRP@Gene
liver fibrosis@Disease,PAR1@Gene
bacterial pneumonia@Disease,KGF@Gene
respiratory syndrome@Disease,S protein@Gene
coronavirus infections@Disease,S protein@Gene
respiratory disease@Disease,ORF4a@Gene
respiratory disease@Disease,orf4b@Gene
diarrhea@Disease,TLR3@Gene
respiratory virus infections@Disease,TLR3@Gene
fever@Disease,Nov 1@Gene
acute respiratory distress syndrome@Disease,G-CSF@Gene
bacterial pneumonia@Disease,G-CSF@Gene
fever@Disease,VP2@Gene
lung fibrosis@Disease,CTGF@Gene
respiratory virus infection@Disease,granzyme B@Gene
fibrosis@Disease,cathepsin B@Gene
pulmonary fibrosis@Disease,cathepsin B@Gene
SARS-CoV infection@Disease,cysteine protease@Gene
fibrosis@Disease,cathepsin L@Gene
VSV and coronavirus infection@Disease,SRFBP1@Gene
fibrosis@Disease,p22phox@Gene
fibrosis@Disease,HMGA2@Gene
respiratory illness@Disease,ADRB2@Gene
respiratory syndrome@Disease,CYLD@Gene
fibrosis@Disease,Hoxd10@Gene
respiratory disease@Disease,CYP1A2@Gene
pneumonia Streptococcus pneumonia@Disease,Nef@Gene
pneumonia@Disease,Nef@Gene
Fever@Disease,Peak 2@Gene
Ebola disease@Disease,post@Gene
influenza pneumonia@Disease,CXCL10@Gene
influenza pneumonia@Disease,IP-10@Gene
coronavirus infection@Disease,IFNAR1@Gene
Ebola virus infection@Disease,IFN-gamma@Gene
SARS-CoV disease@Disease,IFN@Gene
intra-alveolar fibrosis@Disease,IFN-gammaR@Gene
idiopathic pulmonary fibrosis@Disease,IFN-gammaR@Gene
respiratory disease@Disease,DAF@Gene
respiratory disease@Disease,IgG@Gene
respiratory syndrome@Disease,ZIP@Gene
excessive respiratory inflammation@Disease,IL-10@Gene
coronavirus-infected@Disease,IL-10@Gene
acute respiratory syncytial virus infection@Disease,IL-10@Gene
cystic fibrosis@Disease,IL-13@Gene
respiratory viral infections@Disease,IL-17A@Gene
"""hereditary periodic fever syndromes and other \""autoinflammatory\"" diseases""@Disease",IL-1alpha@Gene
"""hereditary periodic fever syndromes and other \""autoinflammatory\"" diseases""@Disease",IL-1beta@Gene
coronavirus infection of the central nervous system@Disease,CD25@Gene
Pulmonary Fibrosis@Disease,IL-6@Gene
respiratory infections@Disease,IL6@Gene
Idiopathic Pulmonary Fibrosis@Disease,IL-6@Gene
lung fibrosis@Disease,ACE@Gene
SARS infection@Disease,ACE@Gene
viral respiratory tract infections@Disease,CD11b@Gene
coronavirus infectious bronchitis virus@Disease,DDX1@Gene
fibrosis@Disease,DDX3@Gene
fever@Disease,K18@Gene
respiratory disease@Disease,K18@Gene
fibrosis@Disease,CD13@Gene
Interstitial pneumonia@Disease,DHX36@Gene
viral pneumonia@Disease,Ly6C@Gene
Interstitial pneumonia@Disease,BLP@Gene
fibrosis@Disease,Smad-3@Gene
hemorrhagic fevers@Disease,MBL@Gene
fibrosis@Disease,MMP2@Gene
congenital respiratory disorder@Disease,PCD@Gene
pneumonia@Disease,MyD88@Gene
mock-infected or SARS-CoV infected WT@Disease,MyD88@Gene
diarrhea@Disease,DPP4@Gene
diarrhea@Disease,hDPP4@Gene
linagliptin reduced renal fibrosis@Disease,DPP-4@Gene
coronavirus and hepatitis C virus@Disease,DPP-4@Gene
viral pneumonia@Disease,DPP4@Gene
respiratory failure@Disease,DPP4@Gene
Respiratory disease@Disease,hDPP4@Gene
Respiratory infection@Disease,hDPP4@Gene
acute respiratory syndrome@Disease,DPP4@Gene
coronavirus infections@Disease,NF-kappaB@Gene
Ebola virus disease@Disease,IkappaBalpha@Gene
decreased pneumonia@Disease,Nos2@Gene
fibrosis@Disease,angiotensin-II@Gene
glomerular fibrosis@Disease,angiotensin-II@Gene
interstitial kidney fibrosis@Disease,angiotensin-II@Gene
pulmonary fibrosis@Disease,angiotensin II@Gene
acute respiratory distress syndrome@Disease,P2X7R@Gene
pulmonary fibrosis@Disease,AT1@Gene
fibrosis@Disease,Serpine1@Gene
SARS-CoV MA15 infection@Disease,Serpine1@Gene
SARS-CoV infection@Disease,PLAT@Gene
infection of the respiratory tract@Disease,PKR@Gene
Klebsiella pneumoniae infection@Disease,PTX3@Gene
pulmonary coronavirus infection@Disease,PTX3@Gene
Classical Swine Fever@Disease,beta3@Gene
acute respiratory syndrome@Disease,M2@Gene
Intestinal diarrhea@Disease,EGFR@Gene
coronavirus infection@Disease,Egr-1@Gene
acute respiratory distress syndrome@Disease,hNE@Gene
hemorrhagic fever@Disease,STT3B@Gene
pneumonia@Disease,Nav1.8@Gene
cystic fibrosis@Disease,ENaC@Gene
respiratory virus infections@Disease,CCL3@Gene
lung fibrosis@Disease,CCL5@Gene
Pulmonary Fibrosis@Disease,CCL5@Gene
Idiopathic Pulmonary Fibrosis@Disease,CCL5@Gene
lung fibrosis@Disease,IL-8@Gene
Pulmonary Fibrosis@Disease,IL-8@Gene
Idiopathic Pulmonary Fibrosis@Disease,IL-8@Gene
bacterial pneumonia@Disease,CXCL5@Gene
acute respiratory syndrome@Disease,Akt@Gene
cystic fibrosis@Disease,IRE-1@Gene
pulmonary fibrosis@Disease,STAT3@Gene
SARS-CoV infection@Disease,STAT-6@Gene
neurotropic coronavirus infection@Disease,ASC@Gene
pneumonia@Disease,albumin@Gene
acute respiratory failure@Disease,albumin@Gene
interstitial pneumonia@Disease,serum albumin@Gene
respiratory disease@Disease,Prothrombin@Gene
respiratory tract infections@Disease,PAR1@Gene
renal fibrosis@Disease,TGF-beta@Gene
fibrosis@Disease,TGFBR2@Gene
fibrosis@Disease,TJP1@Gene
Acute respiratory distress syndrome@Disease,LPS@Gene
respiratory syndrome@Disease,LPS@Gene
respiratory virus infections@Disease,TNF@Gene
respiratory T@Disease,Trm@Gene
respiratory infection@Disease,Trm@Gene
respiratory distress syndrome@Disease,miR@Gene
interstitial pneumonia@Disease,miR@Gene
Pneumocystis jiroveci pneumonia@Disease,FCGR2A@Gene
pneumonia@Disease,CD16@Gene
pneumonia@Disease,FCGR3A@Gene
fever@Disease,fibrinogen@Gene
pneumonia@Disease,fibrinogen@Gene
fibrosis@Disease,ECM@Gene
respiratory infections@Disease,RIG-I@Gene
dengue haemorrhagic fever@Disease,RIG-I@Gene
coronavirus infections@Disease,RNase L@Gene
fever@Disease,TLR2@Gene
pneumococcal pneumonia@Disease,TLR2@Gene
pneumococcal pneumonia@Disease,Toll-like receptor 2@Gene
respiratory syndrome@Disease,Ang II@Gene
cardiac fibrosis@Disease,ERK@Gene
Fever@Disease,HSC@Gene
respiratory tract infection@Disease,UTI@Gene
Diarrhea@Disease,COPD@Gene
Streptococcus pneumoniae infections@Disease,COPD@Gene
respiratory tract disease@Disease,COPD@Gene
upper respiratory infections@Disease,COPD@Gene
respiratory syncytial virus infections@Disease,COPD@Gene
nocturnal respiratory symptoms@Disease,COPD@Gene
respiratory viral infection@Disease,MHV-1@Gene
acute respiratory syndrome@Disease,MHV-1@Gene
Middle East respiratory syndrome coronavirus (MERS-CoV) infection@Disease,GLP-1@Gene
pneumonia@Disease,p38@Gene
Diarrhea@Disease,AST@Gene
bacterial pneumonia@Disease,PB1@Gene
respiratory tract infections@Disease,DNAI1@Gene
fever@Disease,PLT@Gene
fever@Disease,RCP@Gene
fibrosis@Disease,Ang 1-7@Gene
kidney fibrosis@Disease,GLP-1@Gene
diarrhea@Disease,Tek@Gene
fever@Disease,GP2@Gene
Ebola viruses@Disease,"GP1,2@Gene"
respiratory disorders@Disease,GP5@Gene
infection of porcine epidemic diarrhea virus@Disease,IFN-lambda3@Gene
fibrosis@Disease,IFN-lambda3@Gene
SARS-CoV infection@Disease,Huh-7@Gene
respiratory failure@Disease,alanine aminotransferase@Gene
coronavirus infection@Disease,aminopeptidase N@Gene
respiratory syndrome coronavirus@Disease,TBK1@Gene
respiratory syncytial virus infection@Disease,PD-L1@Gene
pneumonia@Disease,CXCL1@Gene
bronchitis virus@Disease,CXCL2@Gene
acute pneumonia@Disease,TLR4@Gene
respiratory virus infection@Disease,T-bet@Gene
cystic fibrosis@Disease,AnxA1@Gene
respiratory syndrome@Disease,Annexin A2@Gene
attenuated cardiac fibrosis and hypertrophy@Disease,ACE2@Gene
fibrosis@Disease,Ang 1@Gene
Lassa fever@Disease,HLA@Gene
Century yellow fever@Disease,HLA@Gene
SARS-CoV infection@Disease,HLA@Gene
Middle East respiratory syndrome viruses@Disease,dNC@Gene
component of porcine epidemic diarrhea virus@Disease,hnRNP A1@Gene
diarrhea@Disease,PLC@Gene
bronchitis@Disease,apoA-I@Gene
diarrhea@Disease,DS-1@Gene
respiratory disease@Disease,STING@Gene
Oryctolagus cuniculus    SARS coronavirus   AID@Disease,IDE@Gene
Lassa fever virus@Disease,IFIT1@Gene
acute respiratory syndrome coronavirus infection@Disease,IFIT1@Gene
infectious bronchitis@Disease,IFN@Gene
epidemic diarrhea@Disease,IFN@Gene
fever@Disease,IFN-lambda@Gene
fibrosis and cirrhotic@Disease,IFN@Gene
influenza A pneumonia@Disease,IFN@Gene
Ebola viruses@Disease,IFN@Gene
SARS CoV infection@Disease,IFN@Gene
SARS infections@Disease,IFN@Gene
Severe Acute Respiratory Syndrome@Disease,IFN@Gene
Severe acute respiratory syndrome@Disease,IFN@Gene
pneumoniae infection@Disease,Ifnar1@Gene
respiratory viral infections@Disease,IFN-beta@Gene
dengue fever@Disease,IFNgamma@Gene
hepatic fibrosis@Disease,IFN-gamma@Gene
respiratory dysfunction@Disease,IFN-gamma@Gene
respiratory tract virus infection@Disease,IFN-gamma@Gene
respiratory infections@Disease,IFNgamma@Gene
interstitial pneumonia@Disease,IFN-gamma@Gene
Ebola infection@Disease,IFN-gamma@Gene
fibrosis@Disease,IgE@Gene
respiratory infections@Disease,IgE@Gene
fibrosis@Disease,IL-1@Gene
diarrhea@Disease,IL-4@Gene
respiratory infections@Disease,IL4@Gene
respiratory infections@Disease,IL-5@Gene
bronchitis@Disease,IL-6@Gene
Fever@Disease,IL-6@Gene
pneumonia@Disease,Il6@Gene
coronavirus infections@Disease,IL6@Gene
respiratory syncytial virus infections@Disease,IL-6@Gene
Ebola hemorrhagic fever@Disease,IL-6@Gene
Ebola virus disease@Disease,IL-6@Gene
Ebola-infected@Disease,IL-6@Gene
bronchitis virus@Disease,IL8@Gene
acute Lassa fever@Disease,interleukin-8@Gene
pneumoniae infection@Disease,il8@Gene
acute respiratory distress syndrome@Disease,CXCL8@Gene
respiratory disease@Disease,IL-8@Gene
SARS CoV infection@Disease,IL-8@Gene
respiratory infection symptoms@Disease,IL-8@Gene
Streptococcus pneumonia@Disease,IL10@Gene
pneumonia@Disease,interleukin 10@Gene
pneumonia@Disease,interleukin-10@Gene
Multiple respiratory viruses@Disease,IL-10@Gene
acute respiratory viral infections@Disease,IL-10@Gene
respiratory tract infection@Disease,IL-13@Gene
SARS-CoV infection@Disease,IL-13@Gene
SARS-CoV infection@Disease,IL-15@Gene
respiratory infection@Disease,IL-17A@Gene
acute respiratory distress syndrome@Disease,IP-10@Gene
respiratory diseases@Disease,CXCL10@Gene
respiratory tract infection@Disease,IP-10@Gene
diarrhea@Disease,insulin@Gene
fibrosis@Disease,Pdx-1@Gene
pneumonia@Disease,IRF-3@Gene
pneumonia@Disease,IRF3@Gene
Severe acute respiratory syndrome@Disease,IRF3@Gene
Diarrhea viruses@Disease,ISG20@Gene
Yellow Fever@Disease,ISG20@Gene
SARS-CoV infection@Disease,ISG20@Gene
SARS-CoV infection@Disease,CD11c@Gene
mock-infected or SARS-CoV infected WT@Disease,CD11c@Gene
Lassa fever@Disease,STT3A@Gene
respiratory infections@Disease,VP1@Gene
SARS-CoV infection@Disease,c-Jun@Gene
yellow fever@Disease,NS3@Gene
tuberculosis and typhoid fever@Disease,iron@Gene
fibrosis@Disease,miR-10b@Gene
fibrosis@Disease,miR-21-5p@Gene
fibrosis@Disease,let-7a@Gene
respiratory distress@Disease,HA2@Gene
fibrosis@Disease,MaFA@Gene
rhinovirus upper respiratory tract infection@Disease,OVA@Gene
pneumonia@Disease,transthyretin@Gene
bronchitis@Disease,actin@Gene
pneumonia@Disease,apolipoprotein A1@Gene
respiratory syndrome virus@Disease,CD163@Gene
respiratory disease@Disease,IL-4@Gene
fibrosis@Disease,miR-146a@Gene
bacterial pneumonia@Disease,MiR-155@Gene
upper respiratory tract infection and leukemiaOV-6@Disease,EpCAM@Gene
Ebola viruses@Disease,G4s@Gene
acute respiratory syndrome@Disease,G4s@Gene
parasiticAnti-hepatic fibrosis@Disease,MAO-A@Gene
acute respiratory distress syndrome@Disease,MBL@Gene
respiratory failure@Disease,MBL@Gene
respiratory infection@Disease,MBL@Gene
respiratory tract infection@Disease,MBL@Gene
bacterial pneumonia@Disease,c-Met@Gene
pneumonia@Disease,MIG@Gene
pneumonia@Disease,beta-lactamase@Gene
skin fibrosis@Disease,MMP1@Gene
virus-infected respiratory tract@Disease,in@Gene
SARS-CoV-infected@Disease,in@Gene
reticular opacities Organising pneumonia@Disease,MTP@Gene
pneumonia@Disease,MTP@Gene
bronchitis virus@Disease,tRNA@Gene
bronchitis@Disease,mul@Gene
bronchopneumonia@Disease,muL@Gene
febrile respiratory infection@Disease,MxA@Gene
respiratory infection@Disease,MxA@Gene
respiratory tract infections@Disease,MxA@Gene
SARS-CoV infection@Disease,MXA@Gene
acute pneumonia@Disease,MyD88@Gene
fibrosis@Disease,alpha-MHC@Gene
coronavirus infection@Disease,ATF4@Gene
SARS coronavirus infection@Disease,B13@Gene
hemorrhagic fever@Disease,Nedd4@Gene
influenza pneumonia@Disease,neuraminidase@Gene
respiratory disease@Disease,neuraminidase@Gene
respiratory infections@Disease,neuraminidase@Gene
respiratory tract infection@Disease,neuraminidase@Gene
respiratory tract infections@Disease,ATP1A1@Gene
bronchitis@Disease,NF-kappaB@Gene
cystic fibrosis@Disease,NF-kappaB@Gene
RVA diarrhea@Disease,NFkappaB@Gene
acute respiratory distress syndrome@Disease,NFKB1@Gene
respiratory syndrome virus@Disease,NF-kappaB@Gene
coronavirus-infected G6PD-deficient@Disease,NF-kappaB@Gene
SARS syndrome@Disease,NF-kappaB@Gene
bronchitis virus@Disease,IkappaBalpha@Gene
respiratory infections@Disease,NGF@Gene
respiratory infections@Disease,NPC@Gene
respiratory diseases@Disease,BNP@Gene
diarrhea@Disease,Spo0A@Gene
SARS-CoV infection@Disease,OAS-1@Gene
pneumonia@Disease,proton-pump@Gene
respiratory illness@Disease,TMPRSS2@Gene
coronavirus infection@Disease,IL-22@Gene
pneumococcal pneumonia@Disease,neutrophil elastase@Gene
fibrosis@Disease,Postn@Gene
respiratory illness@Disease,LBP@Gene
acute pneumonia@Disease,TLR7@Gene
respiratory disease@Disease,Th-1@Gene
respiratory viral infection@Disease,Th1@Gene
Lassa fever@Disease,alpha1-AT@Gene
fever@Disease,AAP@Gene
respiratory syndrome coronavirus@Disease,PLP2@Gene
coronavirus infection@Disease,PLP2@Gene
pneumonia@Disease,Sep@Gene
CAD Diarrhea@Disease,Apr@Gene
respiratory disease@Disease,orf5@Gene
bacterial pneumonia@Disease,TREM-1@Gene
respiratory tract disease@Disease,CD20@Gene
acute respiratory syndrome@Disease,Cat S@Gene
respiratory syndrome@Disease,mask@Gene
respiratory tract disease@Disease,mask@Gene
acute respiratory syndrome@Disease,N-SL2@Gene
acute respiratory syndrome@Disease,pp1a@Gene
pneumonia@Disease,March 1@Gene
fever@Disease,ORF1@Gene
diarrhea@Disease,PIDD@Gene
respiratory tract infections@Disease,PIDD@Gene
respiratory syndrome@Disease,trade@Gene
epidemic diarrhea@Disease,pPG@Gene
Rift Valley Fever NSs@Disease,CRL4@Gene
respiratory syndrome@Disease,OTUB1@Gene
diarrhea@Disease,May 1  May 1@Gene
Fever@Disease,May 1  May 1@Gene
respiratory illness@Disease,May 1@Gene
respiratory tract infection@Disease,ALC@Gene
pulmonary fibrosis@Disease,p38@Gene
acute respiratory syndrome@Disease,JNK@Gene
respiratory disease@Disease,PKR@Gene
SARS-CoV infection@Disease,muM@Gene
acute respiratory syndrome@Disease,muM@Gene
invasive fungal respiratory disease@Disease,bat@Gene
respiratory diseases@Disease,bat@Gene
acute respiratory disease@Disease,bat@Gene
acute respiratory syndrome@Disease,HSI@Gene
SARS-CoV infection@Disease,PLP@Gene
fibrosis@Disease,FIZZ1@Gene
pneumonia@Disease,aid@Gene
fibrosis@Disease,FAK@Gene
pneumonia@Disease,hVISA@Gene
respiratory infection@Disease,MAVS@Gene
respiratory syndrome@Disease,NS2@Gene
respiratory tract disease@Disease,NS2@Gene
pneumococcal pneumonia-infected@Disease,ANGPTL4@Gene
bacterial pneumonia@Disease,PTX3@Gene
pneumonia infection@Disease,ACE2@Gene
interstitial pulmonary fibrosis@Disease,ACE-2@Gene
acute injury and respiratory distress syndrome@Disease,ACE2@Gene
acute respiratory distress syndrome@Disease,angiotensin-converting enzyme 2@Gene
Respiratory Syndrome@Disease,ACE2@Gene
respiratory illness@Disease,hACE2@Gene
Upper respiratory infection@Disease,Ace2@Gene
TMAdV pneumonia@Disease,E1B@Gene
fibrosis@Disease,Igfbp5@Gene
diarrhea@Disease,S29@Gene
Respiratory Syndrome@Disease,S29@Gene
respiratory syndrome@Disease,S29@Gene
respiratory infection@Disease,S29@Gene
diarrhea@Disease,Rad@Gene
fibrosis@Disease,Rad@Gene
pneumonia@Disease,Nsp2@Gene
SARS-CoV infection@Disease,MAC387@Gene
SARS-CoV infection@Disease,P10@Gene
bacterial pneumonia@Disease,SAA@Gene
fever@Disease,SARs@Gene
SARS-CoVpp infection@Disease,SARS@Gene
bronchitis@Disease,MCP-1@Gene
respiratory infections@Disease,CCL2@Gene
fibrosis@Disease,CCl4@Gene
bronchitis@Disease,RANTES@Gene
viral pneumonia@Disease,RANTES@Gene
respiratory syndrome@Disease,RANTES@Gene
pneumonia@Disease,Eotaxin@Gene
pneumonia@Disease,MDC@Gene
respiratory infections@Disease,ST1@Gene
respiratory virus infection@Disease,BLIMP1@Gene
influenza virus respiratory infection@Disease,Prdm1@Gene
respiratory infection@Disease,OAS@Gene
Zika virus infection@Disease,OAS@Gene
childhood HRV or other respiratory virus infections@Disease,IFIH1@Gene
pneumonia@Disease,SP-B@Gene
Lassa fever@Disease,PS@Gene
Ebola VLPs@Disease,PS@Gene
hepatitis A virus and Ebola virus@Disease,PS@Gene
respiratory illness@Disease,Sao@Gene
respiratory syncytial virus infection@Disease,SP-A1@Gene
diarrheal conditions@Disease,NHE3@Gene
cystic fibrosis@Disease,SLPI@Gene
Ebola hemorrhagic fever@Disease,"GP1,2@Gene"
dengue fever@Disease,Sri@Gene
haemorrhagic fever@Disease,Sri@Gene
dengue haemorrhagic fever@Disease,Sri@Gene
infection of severe acute respiratory syndrome coronavirus@Disease,HR2@Gene
respiratory infections@Disease,ST2@Gene
bronchitis coronavirus@Disease,STAT1@Gene
respiratory infections@Disease,STAT-1@Gene
interstitial fibrosis@Disease,STAT3@Gene
fibrosis@Disease,TRPM4@Gene
pneumonia type 14@Disease,SIGN-R1@Gene
pneumonia@Disease,BTK@Gene
immunodominant SARS epitope@Disease,TCR@Gene
Viral respiratory infection@Disease,V2 and V3@Gene
interstitial fibrosis@Disease,ACE2@Gene
interstitial pneumonia@Disease,ACE2@Gene
World haemorrhagic fever arenaviruses@Disease,Transferrin receptor 1@Gene
hemorrhagic fever viruses@Disease,TfR1@Gene
acute respiratory distress syndrome@Disease,TGF-alpha@Gene
skin fibrosis@Disease,TGF-beta@Gene
kidney fibrosis@Disease,TGFbeta@Gene
upper respiratory tract infection and leukemiaOV-6@Disease,CD90@Gene
pneumonia@Disease,TLR1@Gene
acute pneumonia@Disease,TLR3@Gene
coronavirus infections@Disease,TMPRSS2@Gene
fever@Disease,tumor necrosis factor (TNF)-alpha@Gene
fever@Disease,tumor necrosis factor alpha@Gene
viral pneumonia@Disease,TNF-alpha@Gene
pulmonary fibrosis@Disease,TNF@Gene
respiratory distress@Disease,TNF-alpha@Gene
respiratory viral infection@Disease,TNF@Gene
fibrosis@Disease,TNFR1@Gene
fibrosis@Disease,TNFR2@Gene
Respiratory syncytial viruses@Disease,TRAF2@Gene
respiratory syndrome@Disease,TRAF3@Gene
Respiratory syncytial viruses@Disease,TRAF6@Gene
coronavirus infection@Disease,C3aR@Gene
fibrosis@Disease,miR-133b@Gene
fibrosis@Disease,miR-451@Gene
Argentine hemorrhagic fever@Disease,TSG101@Gene
respiratory diseases@Disease,C5a@Gene
acute respiratory syndrome virus coronavirus@Disease,mAbs@Gene
respiratory disease@Disease,orf3@Gene
influenza pneumonia@Disease,IL-1 receptor-associated kinase-M@Gene
dengue hemorrhagic fever@Disease,VDR@Gene
bronchiolitis and fever@Disease,CVL@Gene
coronavirus infectious bronchitis@Disease,S protein@Gene
respiratory syndrome@Disease,XBP1@Gene
respiratory syndrome@Disease,USP7@Gene
fever@Disease,ERI3@Gene
acute respiratory distress syndrome@Disease,TSL@Gene
Ebola virus infection@Disease,GNPTAB@Gene
Fever@Disease,Peak 1@Gene
fever@Disease,ORFX@Gene
Respiratory Syndrome@Disease,spp@Gene
acute respiratory syndrome@Disease,spp@Gene
pneumonia@Disease,DOCK8@Gene
cystic fibrosis@Disease,LL37@Gene
Lassa fever@Disease,ITCH@Gene
fever@Disease,eIF2alpha@Gene
respiratory syndrome coronavirus@Disease,eIF2alpha@Gene
SARS-coronavirus infection@Disease,eIF2alpha@Gene
coronavirus infections@Disease,MSPL@Gene
bowel diarrhea@Disease,cat@Gene
diarrhea@Disease,actin@Gene
diarrhea@Disease,Lgr5@Gene
respiratory virus infections@Disease,URI@Gene
fever@Disease,TRAIL@Gene
heart fibrosis@Disease,TSC-22@Gene
myocardial fibrosis@Disease,TSC-22@Gene
fever@Disease,Rv0888@Gene
acute respiratory syndrome@Disease,EspB@Gene
Pneumonia@Disease,HCAP@Gene
pneumonias@Disease,HCAP@Gene
bronchitis virus@Disease,M protein@Gene
fever@Disease,M protein@Gene
diarrhea@Disease,ALTE@Gene
liver fibrosis@Disease,CD4@Gene
hemorrhagic fever@Disease,CD8@Gene
respiratory viruses@Disease,CD8@Gene
viral respiratory tract infections@Disease,CD8@Gene
coronavirus infection-induced encephalitis@Disease,CD8@Gene
coronavirus infections@Disease,CD8@Gene
coronavirus-infected@Disease,CD8@Gene
fever@Disease,CD14@Gene
pneumonia@Disease,CD14@Gene
Mechanical ventilation Fever@Disease,March 9@Gene
diarrhea in infected@Disease,NHERF@Gene
pneumonia@Disease,HAT@Gene
yellow fever@Disease,cytokine@Gene
SARS-coronavirus infection@Disease,PERK@Gene
interstitial pneumonia@Disease,Pick@Gene
coronavirus infection@Disease,ATG5@Gene
hemorrhagic fever@Disease,BAG3@Gene
fever@Disease,nucleoprotein@Gene
Viral respiratory infection@Disease,clock@Gene
pulmonary fibrosis@Disease,CD44@Gene
fever@Disease,ISG15@Gene
Respiratory syndrome coronaviruses@Disease,ISG15@Gene
SARS infection@Disease,ISG15@Gene
fever@Disease,CD68@Gene
coronavirus infection@Disease,EDEM1@Gene
respiratory disease@Disease,HBoV1@Gene
Respiratory illness@Disease,P58IPK@Gene
respiratory diseases@Disease,XendoU@Gene
acute respiratory syndrome coronavirus replication@Disease,XendoU@Gene
interstitial pneumonia@Disease,Interferon-alpha@Gene
Middle East respiratory syndrome coronavirus@Disease,nsp3@Gene
acute respiratory syndrome@Disease,nsp3@Gene
infectious bronchitis virus@Disease,Nsp1@Gene
respiratory syndrome@Disease,nsp1@Gene
coronavirus infection@Disease,nsp1@Gene
bronchitis coronavirus Beaudette@Disease,M41@Gene
respiratory syndrome coronavirus@Disease,M41@Gene
infect the respiratory epithelium@Disease,mucin@Gene
acute respiratory syndrome@Disease,CTSL@Gene
upper respiratory tract infection@Disease,milk@Gene
rhinovirus upper respiratory tract infection@Disease,proteinase@Gene
diarrhea@Disease,pig's@Gene
haemorrhagic fever@Disease,pigs@Gene
respiratory virus infection@Disease,pigs@Gene
diarrhea@Disease,occludin@Gene
diarrhea@Disease,TLR2@Gene
respiratory infections@Disease,IFNL4@Gene
SARS-CoV infection@Disease,JAK1@Gene
leopard cat coronavirus@Disease,SARS@Gene
fibrosis@Disease,SARS@Gene
respiratory tract disease@Disease,SARS@Gene
interstitial pneumonia@Disease,SARS@Gene
"MunCoV HKU13, munia coronavirus HKU13@Disease",SARS@Gene
"RbCoV HKU14, rabbit coronavirus HKU14@Disease",SARS@Gene
"WECoV HKU16, white-eye coronavirus HKU16@Disease",SARS@Gene
SARS disease@Disease,SARS@Gene
Valley fever@Disease,STAT2@Gene
fever@Disease,STAT2@Gene
hemorrhagic fever virus WT Crimean Congo hemorrhagic fever  Arenaviruses@Disease,STAT2@Gene
Toro virus WT Rift Valley fever@Disease,STAT2@Gene
neonatal diarrhea@Disease,ADG@Gene
respiratory disease@Disease,ADG@Gene
epidemic diarrhea@Disease,IgG@Gene
fibrosis@Disease,GGT@Gene
liver fibrosis@Disease,GGT@Gene
fibrosis@Disease,cyclophilins@Gene
myocardial fibrosis@Disease,cyclophilins@Gene
hemorrhagic fever viruses@Disease,HAP1@Gene
flavivirus Alkhurma hemorrhagic fever virus@Disease,HAP1@Gene
Severe acute respiratory syndrome@Disease,CLEC4M@Gene
respiratory disease@Disease,GC4@Gene
Zika virus infection@Disease,IFITM3@Gene
"immunodeficiency virus type-1 (HIV-1), respiratory syncytial virus@Disease",IFITM3@Gene
Ebola viruses@Disease,IFITM3@Gene
hemorrhagic fever@Disease,EPAC1@Gene
respiratory syndrome coronavirus infections@Disease,EPAC@Gene
Zika infection@Disease,Yap@Gene
dengue fever@Disease,MRSA@Gene
Intestinal diarrhea@Disease,NHE3@Gene
SARS-CoV infection@Disease,IFI44@Gene
yellow fever@Disease,CXCR6@Gene
respiratory viruses@Disease,TRIF@Gene
respiratory disease@Disease,IL-12@Gene
cystic fibrosis airway epithelium@Disease,CFTR@Gene
Cystic fibrosis@Disease,cystic fibrosis transmembrane conductance regulator@Gene
liver fibrosis@Disease,Fgl2@Gene
cystic fibrosis@Disease,gut@Gene
pulmonary fibrosis@Disease,MR@Gene
interstitial pneumonia@Disease,CD1@Gene
respiratory epithelia@Disease,CEA@Gene
pneumoniae infection@Disease,mIFN-alpha@Gene
